establishment_name,category,system_of_medicine,address,district,certificate_number,certificate_validity,page_number,source,scraped_at
MALLESHWARA ORTHOPAEDIC CENTER & POLY CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"NO.34, 8TH MAIN, 13TH CROSS, MALLESHWARAM, BANGALORE-560003.",BANGALORE,BLU00732ALCOC,23 Sep 2025,2,KPME Karnataka Portal,2026-01-19T09:49:31.280399
A R. Suranagi Clinic,Clinic/Polyclinic with Dispensary,Allopathy,"Old Vegetable Market , Yalakki Oni, M G Road, Haveri.",HAVERI,HVR00011ALCWD,17 Dec 2025,2,KPME Karnataka Portal,2026-01-19T09:49:31.379607
SHREE LABORATORY,Medical Diagnostic Laboratory,Allopathy,"Opp. Vandana Bakery, Savalanga Road, Shimoga.",,SMG00026ALMDL,18 Apr 2026,2,KPME Karnataka Portal,2026-01-19T09:49:31.474782
CLASSIC CLINICAL LABORATORY,Medical Diagnostic Laboratory,Allopathy,"2631, MALI GALLI, BELAGAVI",BELAGAVI,BLG00119ALMDL,07 Feb 2026,2,KPME Karnataka Portal,2026-01-19T09:49:31.564762
ADHOKSHAJA EYE CARE AND OPTICALS,Clinic/Polyclinic with Dispensary,Allopathy,#20-20/11-19. Ground floor. RR Commercial complex. Melkar Junction. Panemangalore.,MANGALORE,DKA00295ALCWD,18 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:31.650381
SPECIALIST HEALTH SYSTEMS PVT LTD,Hospital (Level 3)(Non-Teaching with Super Specialty Services),Allopathy,"#216,7th main,80 feet road,1st Block,HRBR Layout,Kalyan Nagar",,BLU01625ALHL3,04 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:31.745996
VIRAJ POLYCLINIC & DIAGNOSTICS,Clinic/Polyclinic Only Consultation,Allopathy,"#7/A, Attur Main Road, Near Shaneshwara Temple, Attur Layout, Yelahanka, Bangalore",BANGALORE,BLU13021ALCOC,18 Dec 2030,2,KPME Karnataka Portal,2026-01-19T09:49:31.843281
CHILD CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,SL COMPLEX MAIN ROAD UPPINANGADY,,DKA00714ALCOC,15 Mar 2027,2,KPME Karnataka Portal,2026-01-19T09:49:31.938946
LABIS DIAGNOSTICS AND SPECIALITY CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,"NO.21.NTI LAYOUT,VIDYARANYAPURA ,BENGALORE-560097",,BLU12267ALCDS,22 Sep 2030,2,KPME Karnataka Portal,2026-01-19T09:49:32.002110
Shifa Clinic,Clinic/Polyclinic with Dispensary,Ayurveda,"Near Old Bus Stand,Rattihalli.",,HVR00246AYCWD,15 Nov 2026,2,KPME Karnataka Portal,2026-01-19T09:49:32.060567
Orchard Healthcare private limited,Medical Diagnostic Laboratory,Allopathy,"#912 , 2nd floor, 6th block, near GKR TOWER , SRINIVAGILU MAIN ROAD , EJIPURA , VENKAPPA GARDEN , KORAMANGALA , BANGALORE",BANGALORE,BLU00758ALMDL,25 Sep 2025,2,KPME Karnataka Portal,2026-01-19T09:49:32.135987
VP MAGNUS HOSPITAL,Hospital (Level 1A),Allopathy,"#36 VINAYAKANAGAR LAYOUT, BINNAMANGALA VILLAGE, NELAMANGALA TQ,",,BLR00010ALH1A,26 Apr 2026,2,KPME Karnataka Portal,2026-01-19T09:49:32.176169
TASMIYA AYU CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,Daugi Oni Jumma Bazar savanur,,HVR00126AYCOC,05 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:32.247871
ORTHODONTIC AND DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"2nd Floor, B.A.Center Point, Signal Light Junction Hampankatta, Mangalore",MANGALORE,DKA00615ALDEN,12 Dec 2026,2,KPME Karnataka Portal,2026-01-19T09:49:32.320473
Harsha Child clinic,Clinic/Polyclinic Only Consultation,Allopathy,"krishna arcade,Darbe ,Puttur",,DKA00513ALCOC,01 Aug 2026,2,KPME Karnataka Portal,2026-01-19T09:49:32.396585
happydent,Dental Lab or Clinic,Allopathy,"Times square building, 1st floor,Above KFC, Kadri, Mangalore-575002.",MANGALORE,DKA00008ALDEN,09 Oct 2025,2,KPME Karnataka Portal,2026-01-19T09:49:32.481969
Caps & Crowns Dr.Haifa Dent Care,Dental Lab or Clinic,Allopathy,"Super Mart, Marnamikatte, Mangalore",MANGALORE,DKA00199ALDEN,20 Jan 2026,2,KPME Karnataka Portal,2026-01-19T09:49:32.561221
Dr.Gillians & Dr Chetans polyclinic,Clinic/Polyclinic with Dispensary,Allopathy,"Chetana nursing home premises, Mallundur road, chikkamagaluru",CHIKKAMAGALURU,CKM00304ALCWD,09 Jul 2028,2,KPME Karnataka Portal,2026-01-19T09:49:32.628196
Susheela dentacare,Dental Lab or Clinic,Allopathy,Sara arcade Melkar,,DKA03231ALDEN,28 Nov 2030,2,KPME Karnataka Portal,2026-01-19T09:49:32.703316
Shri Sai Clinic,Clinic/Polyclinic Only Consultation,Homeopathy,"Shivaji Road, Yallur",,BLG00109HOCOC,07 Feb 2026,2,KPME Karnataka Portal,2026-01-19T09:49:32.764142
MAHAGANAPATHI DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"MAHAGANAPATHI DENTAL CLINIC SHIVAKRUPA BULDING, NELLYADY PUTTUR TQ",,DKA00170ALDEN,21 Dec 2025,2,KPME Karnataka Portal,2026-01-19T09:49:32.798087
DR T RATHNAKAR,Clinic/Polyclinic Only Consultation,Allopathy,"First Floor, Athena Hospital Complex, Falnir Road, Mangalore",MANGALORE,DKA00029ALCOC,09 Oct 2025,2,KPME Karnataka Portal,2026-01-19T09:49:32.857251
Dhanvantri Clinic,Clinic/Polyclinic Only Consultation,Homeopathy,"Dhanvantri Clinic, Near Yallalingeshwar Medical, Sedam Road, Sulepeth,",,GLB00026HOCOC,08 Nov 2025,2,KPME Karnataka Portal,2026-01-19T09:49:32.948504
Makandar Clinic,Clinic/Polyclinic Only Consultation,Homeopathy,Behind Quba Majid Kudachi-591311,,BLG00028HOCOC,10 Nov 2025,2,KPME Karnataka Portal,2026-01-19T09:49:33.027107
Upadhye Dispensary,Clinic/Polyclinic Only Consultation,Ayurveda,"Tarihal Road, Vijay Nagar, Halaga",,BLG00011AYCOC,10 Sep 2025,2,KPME Karnataka Portal,2026-01-19T09:49:33.118501
SURAKSHA HOMEOPATHY HEALTHCARE,Clinic/Polyclinic Only Consultation,Homeopathy,"#91, 19TH MAIN, 60 FEET ROAD, 6TH BLOCK, KORAMANGALA",,BLU03657HOCOC,06 Sep 2027,2,KPME Karnataka Portal,2026-01-19T09:49:33.207127
Saraswati Children Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"Wari Complex, Opposite Corporation Office, Lamington Road, Hubli",HUBLI,DWR00212ALCOC,01 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:33.298131
AIMAN CLINIC,Clinic/Polyclinic with Observation,Ayurveda,"SUBHASH CIRCLE, STATION ROAD, HAVERI",HAVERI,HVR00034AYCWO,11 Feb 2026,2,KPME Karnataka Portal,2026-01-19T09:49:33.378687
Dhatri Health Care,Clinic/Polyclinic with Diagnostic Support,Allopathy,"Survey no. 3/2, Hagadur Colony, Near Sri Rama Temple, Immadihalli road, Whitefield",,BLU05747ALCDS,19 Oct 2028,2,KPME Karnataka Portal,2026-01-19T09:49:33.451101
CLOVE DENTAL Star Dental Centre Private Limited,Dental Lab or Clinic,Allopathy,"24, First Floor, Above Idea Showroom, S.T Bed Extension, Koramangala, Bengaluru -",BENGALURU,BLU04755ALDEN,23 May 2028,2,KPME Karnataka Portal,2026-01-19T09:49:33.515342
KOAL DIAGNOSTICS,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#3/7-5, 3RD CROSS, DR.MARIYAPPA ROAD, KORAMANGALA 2ND BLOCK, MADIWALA POST, BANGALORE-560068.",BANGALORE,BLU00636ALCDS,06 Sep 2025,2,KPME Karnataka Portal,2026-01-19T09:49:33.586073
ARVIND ENT CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"NO. 32, ARVIND COMPLEX, OPP TO METRO TRAIN PILLAR NO. 44, KANAKAPURA MAIN ROAD, J.P. NAGAR POST, BANGALORE 560078",BANGALORE,BLU00699ALCOC,17 Sep 2025,2,KPME Karnataka Portal,2026-01-19T09:49:33.671743
PERFECT PEARLS ORTHODONTIC AND IMPLANT CENTER,Dental Lab or Clinic,Allopathy,"#63/2,GROUND FLOOR, 18TH CROSS, MALLESHWARAM",,BLU00793ALDEN,07 Oct 2025,2,KPME Karnataka Portal,2026-01-19T09:49:33.763901
KVG AYURVEDA MEDICAL COLLEGE AND HOSPITAL,Hospital (Level 4)(Teaching),Ayurveda,"Ambate Adka, Kurunjibag, Sullia",,DKA01139AYHL4,21 Jul 2027,2,KPME Karnataka Portal,2026-01-19T09:49:33.863805
VIJAYA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,MARKET MAIN ROAD KAVITAL,,RCR00302AYCOC,16 Jun 2028,2,KPME Karnataka Portal,2026-01-19T09:49:33.953022
SHREE RAKSHA CLINIC,Clinic/Polyclinic Only Consultation,Homeopathy,"Zansi Laxmi Road, Tq.Alnavar, Dist.Dharwad.",DHARWAD,DWR01426HOCOC,14 Oct 2030,2,KPME Karnataka Portal,2026-01-19T09:49:34.006839
SWASTIKA HOSPITAL,Specialty / Super-Specialty Specific Hospital,Allopathy,"NEAR JAIL CIRCLE, KUVEMPU ROAD",,SMG00047ALSSH,17 May 2026,2,KPME Karnataka Portal,2026-01-19T09:49:34.058084
CLINRAD DIAGNOSTICS& RESEARCH CENTRE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"#725, CMH ROAD,NEAR CMH HOSPITAL. INDIRA NAGAR, BANGALORE-560038",BANGALORE,BLU00679ALCDS,15 Sep 2025,2,KPME Karnataka Portal,2026-01-19T09:49:34.147364
ASHWINI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,NEAR KSRTC DEPO NO 1 OPP MUNDEWADI HOSPITAL VISHAL NAGAR VIJAYAPUR,,BIJ00187AYCOC,02 Apr 2026,2,KPME Karnataka Portal,2026-01-19T09:49:34.221849
BALAJI CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,MAIN ROAD KAVITHAL,,RCR00304AYCOC,26 Jun 2028,2,KPME Karnataka Portal,2026-01-19T09:49:34.257063
KRISHNA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"No.40, Ground Floor, 1st Main Road, Saraswathipuram Main Road, Nandini Layout, Bangalore",BANGALORE,BLU00668ALCOC,10 Sep 2025,2,KPME Karnataka Portal,2026-01-19T09:49:34.288024
JEEVAMRUT CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"#60, Mahasati Nilaya, 7th Cross, Sangolli Rayanna Nagar, Dharwad",DHARWAD,DWR00039AYCOC,28 Sep 2025,2,KPME Karnataka Portal,2026-01-19T09:49:34.317655
DR. REDDYS CREATIVE SMILES,Dental Lab or Clinic,Allopathy,"# 301 , 1ST ‘D CROSS , 2ND ‘C’ MAIN , 8TH BLOCK , KORAMANGALA, BANGALORE",BANGALORE,BLU13385ALDEN,15 Jan 2031,2,KPME Karnataka Portal,2026-01-19T09:49:34.344960
PRIME ORTHOPEDICS,Clinic/Polyclinic Only Consultation,Allopathy,"NO 1309 , KANASU , 1ST FLOOR , 9TH CROSS , J.P NAGAR , 1ST PHASE , BANGALORE",BANGALORE,BLU00767ALCOC,25 Sep 2025,2,KPME Karnataka Portal,2026-01-19T09:49:34.372146
Sree Ayyappan Temple Medical Centre,Clinic/Polyclinic with Diagnostic Support,Allopathy,"Temple Community Hall Complex, Pipeline Road ,Prasanth Nagar , T Dasarahalli ,Bengaluru -560057",BENGALURU,BLU12177ALCDS,14 Sep 2030,2,KPME Karnataka Portal,2026-01-19T09:49:34.399502
Wellcare Clinic,Clinic/Polyclinic with Observation,Allopathy,K.No.25.PRO.NO.152900402003400039 1st Floor Bangalore and Mysore Road,MYSORE,RMG00015ALCWO,14 Apr 2026,2,KPME Karnataka Portal,2026-01-19T09:49:34.427849
Rahi Diagnostics,Diagnostic Imaging Centre,Allopathy,"# 12-10-52/B, Kadam Factory Premises, Near Gandhi Chowk",,RCR00019ALDIC,11 Apr 2026,2,KPME Karnataka Portal,2026-01-19T09:49:34.459304
Specialist Center,Clinic/Polyclinic Only Consultation,Allopathy,"1st Floor, Hemavathi Building, Balmatta, Mangalore",MANGALORE,DKA00162ALCOC,20 Nov 2025,2,KPME Karnataka Portal,2026-01-19T09:49:34.487758
Jeeva Kirana Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"Jeeva Kirana Clinic, 5th Main Lenin Nagar Nituvalli",,DVG00284ALCOC,30 Mar 2027,2,KPME Karnataka Portal,2026-01-19T09:49:34.516983
aadya health junction,AYUSH Therapy Centre,Ayurveda,"door no. 23, behind ramkrishna nursing college, bypass road, in front of A.I.T. girls hostel,kalyan nagar",,CKM00027AYATC,11 Nov 2025,2,KPME Karnataka Portal,2026-01-19T09:49:34.548203
DAVANAGERE CLINIC,Clinic/Polyclinic with Diagnostic Support,Allopathy,NEAR TEMPLE UCHANGI DURGA HARAPANAHALLI,,BEL00078ALCDS,10 Jan 2026,2,KPME Karnataka Portal,2026-01-19T09:49:34.578869
SEVABHAI HOSPITAL,Hospital (Level 1A),Allopathy,"#573, 63rd Cross, 5th Block, Rajajinagar, Bangalore",BANGALORE,BLU00724ALH1A,22 Sep 2025,2,KPME Karnataka Portal,2026-01-19T09:49:34.608304
LAKSHMI HOSPITAL,Hospital (Level 1A),Allopathy,OPPOSITE GENERAL HOSPITAL B H ROAD KUNIGAL TALUK TUMKUR DISTRICT-572130,,TMK00049ALH1A,03 Nov 2025,2,KPME Karnataka Portal,2026-01-19T09:49:34.635494
COLUMBIA ASIA HOSPITAL,Hospital (Level 3)(Non-Teaching with Super Specialty Services),Allopathy,"KIRLOSKAR BUSINESS PARK, BELLARY ROAD, HEBBAL, BANGALORE-560024.",BANGALORE,BLU01541ALHL3,22 Feb 2026,2,KPME Karnataka Portal,2026-01-19T09:49:34.658736
FAME DIAGNOSTICS AND HEALTH CARE PVT.LTD.,Clinic/Polyclinic with Diagnostic Support,Allopathy,"NO.543, ASSESSMENT NO.88, R.K. HEGADE NAGAR, THANISANDRA. K.R.PURAM, BENGALURU-560077.",BENGALURU,BLU01519ALCDS,16 Feb 2026,2,KPME Karnataka Portal,2026-01-19T09:49:34.682400
Arogya Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Door No. 5-98/13, Athri Complex, Near Hyundai Show Room, Kuntalpady",,UDP00146AYCOC,24 Jun 2026,2,KPME Karnataka Portal,2026-01-19T09:49:34.707173
DR.AHMED THYRIOD ENDO DIABETES CENTRE,Clinic/Polyclinic Only Consultation,Allopathy,"#533, 3RD CROSS, 2ND BLOCK, R.T.NAGAR, BANGALORE-560032.",BANGALORE,BLU02996ALCOC,06 Feb 2027,2,KPME Karnataka Portal,2026-01-19T09:49:34.735008
ANUPAMA HOSPITAL,Hospital (Level 1B),Homeopathy,MALLAMMA NAGAR MUDHOL DIST BAGALKOT,,BGK00077HOH1B,09 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:34.778211
SUMUKHA DENTAL CLINIC,Dental Lab or Clinic,Allopathy,"SUMUKHA DENTAL CLINIC, SANJAYA THEATRE BUILDING, R.P.ROAD ,MANDYA",MANDYA,MAN00112ALDEN,19 Apr 2026,2,KPME Karnataka Portal,2026-01-19T09:49:34.872645
FORTIS HOSPITALS LTD,Specialty / Super-Specialty Specific Hospital,Allopathy,"# 14, CUNNINGHAM ROAD",,BLU01671ALSSH,20 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:34.970437
GEETHA NEURO CARE,Clinic/Polyclinic Only Consultation,Allopathy,"# 5B, Near Enoble India, K C Road, Ballari",BALLARI,BEL00123ALCOC,04 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:35.016087
M/s.DHWANI CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"# 4,5 Ground Floor, No-160/1-1, Parvathi Nagar, Laggere, Bengaluru-560058",BENGALURU,BLU02965ALCOC,02 Feb 2027,2,KPME Karnataka Portal,2026-01-19T09:49:35.090020
Puneeth Hospital,Clinic/Polyclinic Only Consultation,Allopathy,"944/1177 Mysore road, Malavalli",MYSORE,MAN00093ALCOC,19 Feb 2026,2,KPME Karnataka Portal,2026-01-19T09:49:35.132318
Swathi Clinic,Clinic/Polyclinic with Dispensary,Ayurveda,"Swathi Clinic, Babbuswami Temple Road, Ambagilu, Puttur Post, Udupi.",UDUPI,UDP00338AYCWD,13 Sep 2026,2,KPME Karnataka Portal,2026-01-19T09:49:35.207188
SERA CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,"2ND FLOOR, SHALIMAR COMPLEX, KANKANADY, MANGALORE",MANGALORE,DKA00484AYCWD,25 Jun 2026,2,KPME Karnataka Portal,2026-01-19T09:49:35.306380
PALLA S MULTI SPECIALITY HOSPITAL,Hospital (Level 1A),Allopathy,"FIRST FLOOR AMAR LAYOUT, D S G COMPLEX ,YADGIR",YADGIR,YDR00048ALH1A,16 Feb 2026,2,KPME Karnataka Portal,2026-01-19T09:49:35.410451
M/S Shri Padma Clinic,Clinic/Polyclinic Only Consultation,Allopathy,"Behind LIC Office, Yadagiri",,YDR00049ALCOC,16 Feb 2026,2,KPME Karnataka Portal,2026-01-19T09:49:35.491983
AL NOOR HOSPITAL,Hospital (Level 1A),Allopathy,"AT. CHINCHANSUR, TQ. ALAND, DIST. KALABURAGI-585302",KALABURAGI,GLB00181ALH1A,21 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:35.578868
HEALTHY SMILES DENTAL HOME,Dental Lab or Clinic,Allopathy,"Mahanandi Kottam,1st Cross, Talur Road, Parvathi Nagar",,BEL00172ALDEN,16 Apr 2026,2,KPME Karnataka Portal,2026-01-19T09:49:35.652218
SUVIDHA HOSPITAL,Hospital (Level 1A),Allopathy,"Plot No.333, 1st Cross, Veerendra Patil GDA Layout, Sedam Road, Kalaburagi",KALABURAGI,GLB00162ALH1A,09 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:35.723357
LIFE CARE LABORATORY,Medical Diagnostic Laboratory,Allopathy,NEAR KHB COLONY INDIRA NAGAR VIJAYAPUR,,BIJ00195ALMDL,02 Apr 2026,2,KPME Karnataka Portal,2026-01-19T09:49:35.769235
Smile Care Clinic,Dental Lab or Clinic,Allopathy,"No.274, 2nd Cross, Cambridge Layout, Ulsoor, Bengaluru-560008",BENGALURU,BLU01660ALDEN,12 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:35.855704
Bharath clinic,Clinic/Polyclinic with Dispensary,Ayurveda,"Near Corportation Bank.B.M Road, Shravanabelagola Channarayapatana",,HSN00192AYCWD,13 Jun 2027,2,KPME Karnataka Portal,2026-01-19T09:49:35.939824
Siddhivinayak Hospital,Clinic/Polyclinic with Diagnostic Support,Allopathy,Devi nagar B B Road Shahapur,,YDR00046ALCDS,16 Feb 2026,2,KPME Karnataka Portal,2026-01-19T09:49:36.023078
MAZUMDAR SHAW MEDICAL CENTRE A UNIT OF NARAYANA HRUDAYALAYA LTD,Specialty / Super-Specialty Specific Hospital,Allopathy,"SURVEY NO. 29P, 2/4, 2/5, 2/6, 2/7, 2/8, 23/2, 23/3, 3D. NO.258/A, BOMMASANDRA INDUSTRIAL AREA, HOSUR ROAD, ANEKAL TALUK, BANGALORE-560099.",BANGALORE,BLU01582ALSSH,02 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:36.083403
JAYADEVI CHILDRENS CLINIC,Clinic/Polyclinic with Dispensary,Allopathy,KANATH COMPLEX SIRSI HUBLI ROAD,HUBLI,UKA00079ALCWD,16 Dec 2026,2,KPME Karnataka Portal,2026-01-19T09:49:36.181223
BANGALORE BAPTIST HOSPITAL,Hospital (Level 3)(Non-Teaching with Super Specialty Services),Allopathy,"Bangalore Baptist Hospital Bellary Road, Hebbal",BANGALORE,BLU01847ALHL3,25 Apr 2026,2,KPME Karnataka Portal,2026-01-19T09:49:36.249974
SRI RANGA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"KUNIGAL ROAD,ROYAN NAGAR,NELAMANGALA TALUK",,BLR00091ALCOC,20 Oct 2026,2,KPME Karnataka Portal,2026-01-19T09:49:36.353565
RHEA CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"Adharshanagar arishinakunte, Nelamangala taluk Bengaluru-562123",BENGALURU,BLR00186ALCOC,05 Aug 2027,2,KPME Karnataka Portal,2026-01-19T09:49:36.445004
Dr CHANDRAS NEURO AND EPILEPSY CENTRE,Clinic/Polyclinic with Dispensary,Allopathy,"OPP OLD KSRTC BUSSTAND, KOLACHALAM COMPOUND, BALLARI",BALLARI,BEL00128ALCWD,04 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:36.545980
Kalyani eye care,Clinic/Polyclinic Only Consultation,Allopathy,"1st floor , R.K Farm Gate, opp marsur big market, Chandapura -Anekal road, Bangalore, 562106",BANGALORE,BLU02338ALCOC,12 Sep 2026,2,KPME Karnataka Portal,2026-01-19T09:49:36.639045
NEWTOWN MEDICAL CENTER,Clinic/Polyclinic Only Consultation,Allopathy,"# 102 , Welcome’s Boulevard Building, #1993, HIG , MAJOR UNNIKRISHNAN ROAD Yelahanka , Bengaluru – 560064",BENGALURU,BLU01862ALCOC,27 Apr 2026,2,KPME Karnataka Portal,2026-01-19T09:49:36.745267
M/S Spoorthy Children Clinic,Clinic/Polyclinic with Observation,Allopathy,Ganesh Nagar B. B. Road Shahapur,,YDR00064ALCWO,08 Mar 2026,2,KPME Karnataka Portal,2026-01-19T09:49:36.835165
DHANAVANTRI NURSING HOME,Hospital (Level 1A),Allopathy,BANDAL CROSS VIJAYAPUR ROAD SINDAGI DIST VIJAYAPUR,,BIJ00193ALH1A,02 Apr 2026,2,KPME Karnataka Portal,2026-01-19T09:49:36.932097
sanjeevini health care,Hospital (Level 1B),Allopathy,"BH ROAD, TARIKERE",,CKM00045ALH1B,13 Jun 2026,2,KPME Karnataka Portal,2026-01-19T09:49:36.998264
MORE CHILDRENS HOSPITAL,Hospital (Level 2),Allopathy,"Sharan Nagar, Near a Hotel, Brahmpur, Kalaburagi",KALABURAGI,GLB00292ALHL2,05 Aug 2026,2,KPME Karnataka Portal,2026-01-19T09:49:37.050215
ACCULABS,Medical Diagnostic Laboratory,Allopathy,"#121,1st Floor,2nd Phase,2nd Stage,West Of Chord,Mahalakshmi Layout,Bangalore-560086",BANGALORE,BLU02141ALMDL,03 Aug 2026,2,KPME Karnataka Portal,2026-01-19T09:49:37.132162
Shree veerbhadreshwar clinic,Clinic/Polyclinic Only Consultation,Homeopathy,"Shree veerbhadreshwar clinic, At post - Rajeshwar",,BDR00154HOCOC,12 Jun 2027,2,KPME Karnataka Portal,2026-01-19T09:49:37.192245
VAISHNAVI CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,"Near Vijaya Bank, Anavatti Raod, Thogarsi, Shikaripura Taluk",,SMG00083AYCWD,23 Nov 2026,2,KPME Karnataka Portal,2026-01-19T09:49:37.290506
DIVYA SAI CLINIC,Clinic/Polyclinic Only Consultation,Allopathy,"HAMSANDRA,GUDIBANDE TALUK CHIKKABALLAPUR DIST",,CBR00088ALCOC,20 May 2027,2,KPME Karnataka Portal,2026-01-19T09:49:37.387248
IPSC INDIA INTERVENTION PAIN AND SPINE CENTRE BANGALORE,Clinic/Polyclinic with Diagnostic Support,Allopathy,"No.11 And 12, Sahakar Nagar, Ballery Road, Bangalore - 560092",BANGALORE,BLU02034ALCDS,27 Jun 2026,2,KPME Karnataka Portal,2026-01-19T09:49:37.481107
AddressHealth Child Speciality Clinic,Clinic/Polyclinic with Dispensary,Allopathy,"#133, 2nd Floor, Bank of Baroda Building, Vijayashree Layout, Hulimavu Gate",,BLU02027ALCWD,18 Jun 2026,2,KPME Karnataka Portal,2026-01-19T09:49:37.541931
DEVA MATA DISPENSARY,Clinic/Polyclinic Only Consultation,Ayurveda,"Russian Colony, Opp. Forest Office, Kargal, Sagar Taluk",,SMG00055AYCOC,09 Jun 2026,2,KPME Karnataka Portal,2026-01-19T09:49:37.609255
2,1,1 2 3 4 5 6 7 8 9 10 ...,3,,5,4,2,KPME Karnataka Portal,2026-01-19T09:49:37.668273
3,2,1,4,,6,5,2,KPME Karnataka Portal,2026-01-19T09:49:37.721399
SHILPA CLINIC,Clinic/Polyclinic with Dispensary,Ayurveda,SHANUBHOGANAHALLI VILL KUTAGAL HOBLI RAMANAGARA TQ AND DIST,RAMANAGARA,RMG00088AYCWD,15 May 2027,3,KPME Karnataka Portal,2026-01-19T09:49:41.333531
Dr T M A Pai Rotary Hospital,Specialty / Super-Specialty Specific Hospital,Allopathy,"SH-1 Bypass Road, Near Taluk office, Karkala, Udupi Dist",UDUPI,UDP00260ALSSH,09 Aug 2026,3,KPME Karnataka Portal,2026-01-19T09:49:41.393534
Vaidii Diagnostics & Poly Clinic,Clinic/Polyclinic with Diagnostic Support,Allopathy,"K.No-1278/A, Ground Floor, G.H Road, Mandya-571401",MANDYA,MAN00149ALCDS,11 Jul 2026,3,KPME Karnataka Portal,2026-01-19T09:49:41.481720
SHRI SIDDHAROODHA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"At Post : Yadwad, Tq. Dist. Dharwad",DHARWAD,DWR00338AYCOC,24 Jul 2026,3,KPME Karnataka Portal,2026-01-19T09:49:41.568495
KAMATHS CLINIC AND DAY CARE CENTRE,Clinic/Polyclinic with Observation,Allopathy,"MAIN ROAD, HIRIADKA, UDUPI 576113",UDUPI,UDP00323ALCWO,08 Sep 2026,3,KPME Karnataka Portal,2026-01-19T09:49:41.652027
MANJUSHREE HOSPITAL,Hospital (Level 3)(Non-Teaching with Super Specialty Services),Allopathy,"NO 91 DR AMC ROAD, KAVALBYRASANDRA, R T NAGAR POST, BENGALURU 560032",BENGALURU,BLU02643ALHL3,25 Nov 2026,3,KPME Karnataka Portal,2026-01-19T09:49:41.730631
FACE LIFT CLINIC,Dental Lab or Clinic,Allopathy,"Vikas Nagar Main Road, Hosur, Hubballi-580021",,DWR00348ALDEN,28 Aug 2026,3,KPME Karnataka Portal,2026-01-19T09:49:41.783797
Mathrushri Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Madapura, Near Kolagala, H.D.Kote Taluk, Mysore Dist.",MYSORE,MYS00617AYCOC,07 Jul 2027,3,KPME Karnataka Portal,2026-01-19T09:49:41.859699
Atreya Clinic,Clinic/Polyclinic Only Consultation,Ayurveda,"Huyilalu, Ilwala Hobli, Mysore Tq.",MYSORE,MYS00611AYCOC,07 Jul 2027,3,KPME Karnataka Portal,2026-01-19T09:49:41.949710
MANJUNATHA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,"M.M. ROAD, ANTARASANTE, H D KOTE, MYSURU",MYSURU,MYS00667AYCOC,31 Aug 2027,3,KPME Karnataka Portal,2026-01-19T09:49:42.015533
sanjeevini clinic,Clinic/Polyclinic Only Consultation,Ayurveda,393/1 begur main road near nageshwar temple opp SBI ATM begur Bengaluru south,BENGALURU,BLU02364AYCOC,19 Sep 2026,3,KPME Karnataka Portal,2026-01-19T09:49:42.085272
VEERANNA CLINIC,Clinic/Polyclinic Only Consultation,Ayurveda,KRISHNAPPA BUILDING MARALENAHALLI HANABE POST DODDABALLAPURA,,BLR00297AYCOC,09 Oct 2027,3,KPME Karnataka Portal,2026-01-19T09:49:42.147732
